Category (Parent),Category URL (Parent),Category - Leaf (Child 1),Category URL - Leaf (Child 1),Product URL,PartNumber,Product Title,Product Subtitle,Product Description,Image URLs,Price,List of Vehicle Compatibility,Brand,OE number / cross-reference,Others,Other_fitment
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-49304k,CSK-AUDA1-49304K,Car Service Kit Audi A1 8XK 8X1 1.4 TFSI CAVG CTHG FWD Petrol Hatchback 01/11-04/15 136kw,,"Is it time to service your Audi A1 1.4 TFSI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A1. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilSpark Plugs: One of the most important components for engine efficiency are your spark plugs. Get your Audi engine firing right with the spark plugs below from the best spark plug brands.Radiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-49304k.jpg,$13.57, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-49305k,CSK-AUDA1-49305K,Car Service Kit Audi A1 8XK 8X1 1.6 TDI CAYB FWD Diesel Hatchback 03/11-04/15 66kw,,"Is it time to service your Audi A1 1.6 TDI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A1. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilRadiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-49305k.jpg,$10.20, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-411782k,CSK-AUDA1-411782K,Car Service Kit Audi A1 8XA 8XF 1.2 TFSI CBZA FWD Petrol Hatchback 01/12-04/15 63kw,,"Is it time to service your Audi A1 1.2 TFSI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A1. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilSpark Plugs: One of the most important components for engine efficiency are your spark plugs. Get your Audi engine firing right with the spark plugs below from the best spark plug brands.Radiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-411782k.jpg,$13.57, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-411783k,CSK-AUDA1-411783K,Car Service Kit Audi A1 8XA 8XF 1.4 TFSI CAXA CNVA FWD Petrol Hatchback 11/11-04/15 90kw,,"Is it time to service your Audi A1 1.4 TFSI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A1. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilSpark Plugs: One of the most important components for engine efficiency are your spark plugs. Get your Audi engine firing right with the spark plugs below from the best spark plug brands.Radiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-411783k.jpg,$13.57, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-411785k,CSK-AUDA1-411785K,Car Service Kit Audi A1 8XA 8XF 1.4 TFSI CAVG CTHG FWD Petrol Hatchback 11/11-04/15 136kw,,"Is it time to service your Audi A1 1.4 TFSI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A1. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilSpark Plugs: One of the most important components for engine efficiency are your spark plugs. Get your Audi engine firing right with the spark plugs below from the best spark plug brands.Radiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-411785k.jpg,$13.57, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-411786k,CSK-AUDA1-411786K,Car Service Kit Audi A1 8XA 8XF 1.6 TDI CAYB FWD Diesel Hatchback 11/11-04/15 66kw,,"Is it time to service your Audi A1 1.6 TDI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A1. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilRadiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-411786k.jpg,$10.20, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-433305k,CSK-AUDA1-433305K,Car Service Kit Audi A1 8XK 8X1 1.4 TFSI CAXA CNVA FWD Petrol Hatchback 05/10-04/15 90kw,,"Is it time to service your Audi A1 1.4 TFSI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A1. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilSpark Plugs: One of the most important components for engine efficiency are your spark plugs. Get your Audi engine firing right with the spark plugs below from the best spark plug brands.Radiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-433305k.jpg,$13.57, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda1-433303k,CSK-AUDA1-433303K,Car Service Kit Audi A1 8XK 8X1 1.2 TFSI CBZA FWD Petrol Hatchback 05/10-04/15 63kw,,"Is it time to service your Audi A1 1.2 TFSI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Air Filter: Restricted air flow to your engine from a clogged or dirty air filter can cause poor fuel economy and many other performance related issues so having a clean and free-flowing air filter is key. Choose from of one of the air filters below to help keep your A1 engine breathing efficiently.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A1 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A1.Fuel Filter: Clean fuel is an essential part of maximising economy and reducing emissions. Select from the fuel filters below to keep the fuel supply to your A1 engine as clean as possible.Radiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda1-433303k.jpg,$13.57, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda3-418066k,CSK-AUDA3-418066K,Car Service Kit Audi A3 8PA 1.6 BGU BSE BSF FWD Petrol Hatchback 09/04-03/13 75kw,,"Is it time to service your Audi A3 1.6 but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A3 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A3.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A3. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilSpark Plugs: One of the most important components for engine efficiency are your spark plugs. Get your Audi engine firing right with the spark plugs below from the best spark plug brands.Radiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda3-418066k.jpg,$5.80, ,Automotivesuperstore,,,
Home Service,https://automotivesuperstore.com.au/service,Home  Service  Vehicle Service Kits  Audi Service Kits,https://automotivesuperstore.com.au/service/vehicle-service-kits/audi-service-kits,https://automotivesuperstore.com.au/autoss-csk-auda3-418067k,CSK-AUDA3-418067K,Car Service Kit Audi A3 8PA 1.9 TDI BXE BKC BLS FWD Diesel Hatchback 09/04-05/10 77kw,,"Is it time to service your Audi A3 1.9 TDI but you're having trouble selecting all the correct parts? Try our Car Service Kits for your vehicle! Our Service Kits come with a selection of hand-picked parts specifically for your vehicle.Regular maintenance and servicing are a critical part of vehicle ownership ensuring your car runs safely and efficiently. All vehicles have a manufacturer recommend servicing schedule which you can find in your vehicle owner handbook which we strongly recommend is followed.Oil Filter: Keeping your engine oil free of contaminate particles is another vital part of keeping your Audi A3 running smoothly. Below we have selected the best oil filters from the best oil filter brands for your A3.Engine Oil: Choosing the right oil for your engine is vital. That’s why we have selected the below oils for your Audi A3. Additional options may be shown for the case where your vehicle has high kms and may require a different viscosity. Note: Always check oil requirements as specified by Audi and don't forget to use an Engine Oil Flush whenever you change your oilRadiator Coolant:  The key to keeping your engine’s cooling system running the way it was designed is having clean and contaminate free radiator coolant. Nulon are industry pioneers when it comes to coolant and have taken all the guess work out of choosing the right coolant for your car. The Nulon ‘One’ radiator coolant will replace all Red, Green and Blue coolants making it the simple choice for your next coolant change. Don’t forget to always flush your cooling system with a radiator flush when you change your coolant.",https://automotivesuperstore.com.au/media/catalog/product/cache/c0941db277fc5df04a8a46a825553cd9/_/c/_c_s_csk-auda3-418067k.jpg,$9.22, ,Automotivesuperstore,,,
